dydt,x,y
-3.360969843164696158e-02,4.597095424914024342e+00,1.036802290119338110e+01
2.558640020198694742e-01,3.718662143893959104e+00,1.036466193135021641e+01
-2.767584262326749922e-02,3.090342355656249929e+00,1.041919570159735464e+01
-5.795281974164794292e-01,2.651793593736076815e+00,1.035912676282556433e+01
-8.066445009021450119e-01,2.320174833968858596e+00,1.030329006211405840e+01
-1.028129998720665128e+00,1.998099042480715459e+00,1.019779786264513533e+01
-1.232344833886308777e+00,1.733315478793685083e+00,1.009766406236992431e+01
-1.323735148737888778e+00,1.509770949382303495e+00,9.951328895867874280e+00
-1.448772230309373299e+00,1.306941210065884373e+00,9.832917032622347620e+00
-1.856462038751033106e+00,1.110173745542788026e+00,9.661574449805998555e+00
-2.321705604801387324e+00,9.302419192405765314e-01,9.461624624872140288e+00
-2.529485871203426939e+00,7.902541316705555818e-01,9.197233328845719313e+00
-2.543103691747354844e+00,6.368338842934591071e-01,8.955727450631455255e+00
-2.518008633522278217e+00,5.110816907654471830e-01,8.688612590496246568e+00
-2.718400911303739065e+00,3.933409248762766985e-01,8.452125723927000678e+00
-3.230612203023049744e+00,2.963831145877256490e-01,8.144932408235497689e+00
-3.328486272418714975e+00,2.430886476916227501e-01,7.806003283322392683e+00
-3.219570636268997532e+00,1.864906724967375085e-01,7.479235153751753629e+00
-3.026597282568204150e+00,1.421133799358700878e-01,7.162089156068590867e+00
-2.681468082689526966e+00,1.302486774382138335e-01,6.873915697238114575e+00
-2.519099542255933244e+00,1.054726045818653590e-01,6.625795539530684231e+00
-2.495624247822824771e+00,8.005935115891379961e-02,6.370095788786929170e+00
-2.371309990872671136e+00,7.192114065364212105e-02,6.126670689966118744e+00
-2.541261185985291604e+00,5.423550572404820663e-02,5.895833790612394765e+00
-1.980730905834487743e+00,4.656959815296457528e-02,5.618418452769059712e+00
-1.832826442442101467e+00,3.043367440228832849e-02,5.499687609445497394e+00
-2.216032962888316860e+00,1.778633117752651330e-02,5.251853164280638531e+00
-1.793645827985194785e+00,2.510669605946973595e-02,5.056481016867834022e+00
-1.713171711381651363e+00,3.457886562245501144e-02,4.893123998683599041e+00
-1.594968534851769704e+00,2.243316616453200352e-02,4.713846674591502861e+00
-1.427708873142460533e+00,1.716907146984062923e-02,4.574130291713245811e+00
-1.459748728169721232e+00,4.373665148177638407e-02,4.428304899963010577e+00
-1.280338794904448463e+00,1.115225560930553118e-02,4.282180546079301209e+00
-9.519723766475998161e-01,4.547984332554760867e-02,4.172237140982121062e+00
-8.145982580456774258e-01,2.665133210906657502e-02,4.091786070749781068e+00
-1.390886352669902237e+00,3.329616977744135481e-02,4.009317489372986820e+00
-1.209400658806416118e+00,2.351721855089525595e-02,3.813608800215800176e+00
-1.062919026550698476e+00,2.099250047942720354e-02,3.767437357611703508e+00
-1.087707049736881260e+00,6.280556435966321710e-03,3.601024994905660748e+00
-5.058229493287065281e-01,3.373200599111080694e-02,3.549895947664326812e+00
-5.795460622645229876e-01,1.261879881837160711e-02,3.499860405039920241e+00
-8.492484006716374267e-01,2.570138086795543952e-02,3.433986735211421948e+00
-6.891882081259481652e-01,3.149700400130193978e-02,3.330010724905593023e+00
-8.593135643852232164e-01,3.697312815291237120e-02,3.296149093586232759e+00
-1.078238900728553773e+00,4.941893080905339353e-02,3.158148012028547669e+00
