dxdt,x,y
-7.229407956031685956e-01,4.380882329346405868e+00,-2.643410068410895764e-01
-9.218070692425897050e-01,4.308588249786089008e+00,3.542840896709530951e-01
-1.537391261384268404e+00,4.196520915497887749e+00,7.036473771191341653e-01
-1.784604954709806179e+00,4.001109997509236571e+00,1.007049800573654341e+00
-1.753811127072932408e+00,3.839599924555926691e+00,1.497804080404736782e+00
-1.746250362543534607e+00,3.650347772094650001e+00,1.870376429971800647e+00
-1.417336671903818512e+00,3.490349852047219592e+00,2.321169950251418257e+00
-1.012524766543929644e+00,3.366880437713887009e+00,2.672989672436384634e+00
-5.160872147100583618e-01,3.287844898738433219e+00,3.069716061131896989e+00
-9.140261123809523269e-02,3.263662994771875603e+00,3.226237331070897163e+00
-2.105958412067181484e-01,3.269564376490813995e+00,3.757598042679597405e+00
-3.128385749484152711e-02,3.221543826530531618e+00,3.899070601527245383e+00
5.559643094719852741e-01,3.263307604991846134e+00,4.531318429270169368e+00
3.650489865559976010e-01,3.332736688424927429e+00,4.727350698820139918e+00
2.509916102101570345e-01,3.336317402303045743e+00,5.059253493060703377e+00
2.494459611351196315e-01,3.382935010466958214e+00,5.389475185473610708e+00
-8.059200802837196420e-02,3.386206594530070113e+00,5.650210745883419428e+00
-2.595523529079137859e-01,3.366816608861283644e+00,5.872135384877421593e+00
-3.832589046997654236e-01,3.334296123948486734e+00,6.538987432367469488e+00
-8.999269856236971066e-01,3.290164827921330915e+00,6.696432461453700746e+00
-1.019875478983607309e+00,3.154310726823747135e+00,6.825525228858091431e+00
-9.780242294674916792e-01,3.086189732124609897e+00,7.256249740919077595e+00
-1.519552584715210486e+00,2.958705880930248444e+00,7.196271437755942024e+00
-1.582624136180987406e+00,2.782279215181567622e+00,7.587610027607055940e+00
-1.454348682953048311e+00,2.642181053694050874e+00,7.882874181738886321e+00
-1.200681764390711947e+00,2.491409478590958848e+00,8.374445420290744124e+00
-9.166514199938244900e-01,2.402044700815908485e+00,8.349089572919687896e+00
-9.222488991239643497e-01,2.308079194592193684e+00,8.815905768380252638e+00
-6.868823748894570258e-01,2.217594920991115437e+00,9.061309168671362713e+00
-2.148606019091943153e-01,2.170702719614302278e+00,9.241353416906697760e+00
-2.381242628207225209e-02,2.174622800609276929e+00,9.605159724973088231e+00
1.539928861708119712e-01,2.165940234357887295e+00,9.950864795607250457e+00
