dxdt,x,y
-7.425965519416495297e+00,4.235768291145449282e+00,1.040508018801930845e+01
-6.662034957019388415e+00,3.493171739203799753e+00,1.041101667426833721e+01
-4.910887327625419019e+00,2.903361299741570978e+00,1.040363281058313838e+01
-3.487371191465252096e+00,2.510994273678716304e+00,1.038151349386962252e+01
-2.711043559916593182e+00,2.205887061448520647e+00,1.017478672506239690e+01
-2.583000316737965818e+00,1.968785561695397757e+00,1.014315092430472554e+01
-2.489883407634795098e+00,1.689286998100927306e+00,1.007087430749835200e+01
-2.304738193194053153e+00,1.470808880168438915e+00,9.904828647078330661e+00
-2.134131683199965046e+00,1.228339359462117031e+00,9.801567183327234645e+00
-1.814120720424906352e+00,1.043982543528445994e+00,9.475785823423716892e+00
-1.764829136924582986e+00,8.655152153771358270e-01,9.369035023222139102e+00
-1.381288789474196310e+00,6.910167161435291083e-01,9.143417360106283809e+00
-9.610855620240856823e-01,5.892574574822962985e-01,8.903931407999948533e+00
-1.166084196005855889e+00,4.987996037387117942e-01,8.585379946453514322e+00
-1.053900411548139404e+00,3.560406182811250986e-01,8.237380513890821376e+00
-6.132882463592692623e-01,2.880195214290837691e-01,7.965546846040860274e+00
-6.108251165140909933e-01,2.333829690092713571e-01,7.627928980464780295e+00
-4.421973328953539006e-01,1.658544981262654316e-01,7.372947759554463687e+00
-3.454123958065612454e-01,1.449435024302004604e-01,7.135845470751192465e+00
-4.101940669748000423e-01,9.677201896495316036e-02,6.716969675387139738e+00
-1.699004828057957273e-01,6.290468903524040756e-02,6.574449325381761966e+00
-1.356864132681579738e-01,6.279192240379410928e-02,6.217824745891022076e+00
1.171467877106474598e-02,3.576740638160878089e-02,6.009263671636609239e+00
8.705235500490640654e-02,6.513485815800705570e-02,5.801279440652339581e+00
-4.700615833223287243e-02,5.317787738259008301e-02,5.583857072750467943e+00
1.264542562054062902e-01,5.573362649156044651e-02,5.355025810870341019e+00
-2.077423869786260147e-02,7.846872862367137991e-02,5.153453017433412775e+00
-2.026863355493548624e-01,5.157877875198792206e-02,5.030474821582040512e+00
-7.139839114416110522e-02,3.793146151380037689e-02,4.776004448983512063e+00
-1.208885202061905917e-01,3.729910052315568714e-02,4.677370570628277768e+00
-1.037030456323511651e-01,1.375375747256240080e-02,4.581948711502777272e+00
