dxdt,x,y
1.305073374824194943e-01,-2.255776685302308238e+00,-1.053227214944606693e+00
2.887982081297586490e-01,-2.242725951554066288e+00,-1.082088855919429715e+00
4.120286083647304309e-01,-2.198017043676356419e+00,-1.103362124573851411e+00
2.628799607217153778e-01,-2.160320229881120380e+00,-1.118517642327359063e+00
1.594699092718663280e-01,-2.145441051532013255e+00,-1.149572369791151960e+00
2.148513182500781937e-01,-2.128426248026747292e+00,-1.166665157024405763e+00
1.818042388439202739e-01,-2.102470787881997705e+00,-1.184582132890775297e+00
1.764008770957943284e-01,-2.092065400257963503e+00,-1.213806746832336581e+00
2.686789212242448599e-01,-2.067190612462838750e+00,-1.217843917917100116e+00
2.031233369357554608e-01,-2.038329616013114354e+00,-1.235350769497245649e+00
1.317097036982772806e-01,-2.026565945075687658e+00,-1.260014775662567477e+00
8.934158801045199993e-02,-2.011987675273458898e+00,-1.273743009775679225e+00
7.873414329876382567e-02,-2.008697627473597258e+00,-1.285182647546593726e+00
5.513438157904815284e-02,-1.996240846613705600e+00,-1.301516359336007733e+00
1.686499216217303143e-01,-1.997670751157788027e+00,-1.312427937617712814e+00
1.281493901574926042e-01,-1.962510862289359448e+00,-1.340613194009090403e+00
1.882962701360391122e-02,-1.972040873126289950e+00,-1.355598679159026876e+00
9.815579606420854475e-02,-1.958744936886638754e+00,-1.359472717926216268e+00
-1.279432991174189738e-02,-1.952409713913447531e+00,-1.369813051665941472e+00
1.065762151614766395e-01,-1.961303802868987756e+00,-1.379594875074635407e+00
1.774375976138120592e-01,-1.931094470881151937e+00,-1.397964240494095289e+00
3.415385576905372034e-02,-1.925816283346225788e+00,-1.406800034719067671e+00
1.876836480270505092e-02,-1.924263699727341015e+00,-1.423427803964369964e+00
4.158283309615207202e-02,-1.922062610385684822e+00,-1.423498586903236163e+00
-1.944791053747252363e-02,-1.915947133108110600e+00,-1.432625585135073765e+00
-5.242288595176880506e-02,-1.925952192493179727e+00,-1.463916894470287389e+00
1.738306021980804417e-01,-1.926431710298463829e+00,-1.463421083058255689e+00
1.128458773795060210e-01,-1.891186072053563594e+00,-1.476602856472601921e+00
4.704112972917329216e-02,-1.903862534822562402e+00,-1.477037679055977604e+00
7.918268579495446602e-02,-1.881777846107728802e+00,-1.494311615964986073e+00
2.474929044814366819e-02,-1.888025997663571598e+00,-1.503024669027590798e+00
-1.172130461629450338e-02,-1.876827988018099802e+00,-1.518627538727110871e+00
-1.344488820844222943e-01,-1.890370258586830499e+00,-1.512108741263254341e+00
4.675179534795503855e-02,-1.903717764434984083e+00,-1.535339638066775203e+00
4.518489061465302825e-02,-1.881019899517239580e+00,-1.538046265282569269e+00
-1.893908068781868792e-02,-1.894680786312053389e+00,-1.557232475290971863e+00
4.225604150313699847e-02,-1.884807715654803095e+00,-1.573872342684686565e+00
4.982816853735805296e-02,-1.886229578011425989e+00,-1.551294464911016968e+00
-5.867973582304841784e-03,-1.874842081947331707e+00,-1.571943542124086157e+00
-6.762958480137015727e-02,-1.887403172727887046e+00,-1.599495230963756454e+00
-2.658544072672341940e-02,-1.888367998907605871e+00,-1.613403171029429872e+00
4.446631234402076416e-02,-1.892720260873231863e+00,-1.604561030765482510e+00
1.311525769890309334e-02,-1.879474736438801807e+00,-1.638467961923218308e+00
-6.951605289014572975e-02,-1.890097209333451156e+00,-1.633191901104565025e+00
4.421671853771513838e-03,-1.893377947016830598e+00,-1.630751636881941913e+00
5.469940990184340990e-02,-1.889212874962697075e+00,-1.643544606651055284e+00
-4.648843663543011928e-02,-1.882438065036461827e+00,-1.658980395476038261e+00
-1.923179105669277078e-01,-1.898510562289782655e+00,-1.662197827603713485e+00
7.575759402961601552e-02,-1.920901647149847680e+00,-1.681715875694156592e+00
2.612575311956177870e-02,-1.883359043483860074e+00,-1.672627063117502422e+00
-2.315465131617600036e-01,-1.915676496525935191e+00,-1.698008884752088221e+00
-9.414926356528852125e-02,-1.929668346116211852e+00,-1.717322862622811419e+00
-5.280987652276003530e-02,-1.934506349238992895e+00,-1.719730623375927303e+00
-2.896070419925855788e-02,-1.940230321420763904e+00,-1.727302316363925172e+00
2.192915603794887147e-02,-1.940298490078844695e+00,-1.737369882128992460e+00
-2.346909914195371982e-02,-1.935844490213174396e+00,-1.753506017619699264e+00
-3.894166723029179877e-02,-1.944992309907235706e+00,-1.762697050881128380e+00
-1.709738577472741383e-01,-1.943632823659232844e+00,-1.783983038256145459e+00
-1.987687774454780509e-01,-1.979187081456691200e+00,-1.792133524218672891e+00
-1.313922750771361336e-01,-1.983386579148328721e+00,-1.805075568597159119e+00
-1.390495044454933549e-01,-2.005465536472118337e+00,-1.824951681012055182e+00
3.669147159985541862e-02,-2.011196480037427570e+00,-1.844463834324684193e+00
-8.676183855912000809e-02,-1.998127242152147431e+00,-1.863536899363048116e+00
-1.358221146948341840e-01,-2.028548847749251927e+00,-1.871472798252819647e+00
-4.409419484018783919e-02,-2.025291665091114357e+00,-1.892560617458616035e+00
-1.383665344024187505e-01,-2.037367686717289406e+00,-1.915400551112145466e+00
-1.642802296007488394e-01,-2.052964971971598107e+00,-1.923508230827311483e+00
-2.739957610811316613e-01,-2.070223732637439085e+00,-1.939428629127653236e+00
-1.699749232170404412e-01,-2.107764124187824439e+00,-1.948885456498106628e+00
-1.244308002537088953e-01,-2.104218717280847528e+00,-1.984122659349226714e+00
-2.490745638339610935e-01,-2.132650284238565952e+00,-2.008875114847697763e+00
-4.266786997784368651e-01,-2.154033630047639480e+00,-2.015108853042231196e+00
-2.866385208109960558e-01,-2.217986024194253059e+00,-2.044942308680926857e+00
-2.073162061514075560e-01,-2.211361334209838159e+00,-2.068823600710941957e+00
