dydt,x,y
1.912597020904405198e-02,2.689422784813524370e-01,9.853641620532191947e-01
-6.106163907190609308e-02,1.286074593040786196e+00,9.872767590741235999e-01
-2.197684875913035185e-01,1.616489853134195354e+00,9.731518342388379983e-01
-2.293059576619942419e-01,1.653645481445062959e+00,9.433230615558628740e-01
-1.566442676847028537e-01,1.646455083949786458e+00,9.272906427064391277e-01
-1.479598130780832577e-01,1.637172039451768812e+00,9.119942080189222811e-01
-2.040116199899681959e-01,1.624644576818539576e+00,8.976986800908224318e-01
-1.429858743681711175e-01,1.627402786240149224e+00,8.711918840209286197e-01
-6.868518999816064508e-02,1.626342813329366921e+00,8.691015052171882083e-01
-1.856206208217932030e-01,1.612165917232485812e+00,8.574548460212965129e-01
-2.375755125323575356e-01,1.606034816029797696e+00,8.319773810528295899e-01
-1.355887932328139200e-01,1.583466602190251038e+00,8.099397435148250057e-01
-1.389420402591872161e-01,1.572785471232444721e+00,8.048596224062667392e-01
-1.603242633611823287e-01,1.573262967913355403e+00,7.821513354629875403e-01
-1.921906349378610379e-01,1.580853044690982312e+00,7.727947697340304956e-01
-1.902758276149669747e-01,1.564842612536820443e+00,7.437132084754152217e-01
-1.370027044720125708e-01,1.565185045268072006e+00,7.347396042110373449e-01
-2.201277162668060505e-01,1.561374697908295639e+00,7.163126675810127519e-01
-1.212469929737758356e-01,1.558201221205476772e+00,6.907140609576760681e-01
-1.197835126189707999e-01,1.540064340989940606e+00,6.920632689862578069e-01
-1.444510291930414247e-01,1.533035016307189968e+00,6.667573584338818415e-01
-1.369442970623806488e-01,1.526871663190890738e+00,6.631730631476496773e-01
-2.248660443345205096e-01,1.519093623437626217e+00,6.393684990214056896e-01
-1.365587389973379473e-01,1.500298600009445371e+00,6.181998542807455310e-01
-1.139903900487566624e-01,1.490594570066434921e+00,6.120567512219381445e-01
-1.597826678479905560e-01,1.489460980965248149e+00,5.954017762709943318e-01
-9.529307831758471181e-02,1.484441902057472840e+00,5.801002176523399889e-01
-1.769595522741109761e-01,1.469938091730013996e+00,5.763431606074773672e-01
-1.547865465120024098e-01,1.463723116391638879e+00,5.447083071975177271e-01
-1.008481443661222166e-01,1.465371541695561275e+00,5.453858513050768853e-01
-1.411302896225485881e-01,1.453439154732058869e+00,5.245386783242935724e-01
-9.232139775793157810e-02,1.438582030548241741e+00,5.171597933805671676e-01
-1.519403010248003838e-01,1.428181462611745944e+00,5.060743987727072124e-01
-2.093738358282029033e-01,1.428590002259142677e+00,4.867717331756070132e-01
-1.954429204449290580e-01,1.420031889293173588e+00,4.641996316070666206e-01
-1.108115536404148394e-01,1.413143007024505682e+00,4.476831490866212682e-01
-9.735010873968485967e-02,1.392894689588753954e+00,4.420373208789836750e-01
-1.222316631980349122e-01,1.404607828871878628e+00,4.282131273386842740e-01
-1.119297510598697976e-01,1.381180100470028815e+00,4.175909882393767369e-01
-2.269357538206113745e-01,1.371572649507513786e+00,4.058271771267102923e-01
-1.821411525992684410e-01,1.379967580407731598e+00,3.722038374752547063e-01
-8.382257743792909110e-02,1.360725786523162339e+00,3.693989466068568484e-01
-1.334475656950044886e-01,1.336928696353658630e+00,3.554393219876689769e-01
-1.396004394943244353e-01,1.328558300367106870e+00,3.427094334678560394e-01
-5.370489922766674695e-02,1.328929132645078948e+00,3.275192340888040676e-01
-8.487689312541402131e-02,1.318596320639193964e+00,3.319684536223225235e-01
-2.078785157949722961e-01,1.315358329581368446e+00,3.105438554637209858e-01
-1.990202030732437510e-01,1.310349190199610270e+00,2.903927504633279644e-01
-1.652027792373782500e-01,1.282404131735114472e+00,2.707398148490722245e-01
-1.216438630567462376e-01,1.279184515431374347e+00,2.573521946158521811e-01
-5.685305593037681682e-02,1.281830453227041700e+00,2.464110422377230603e-01
-1.093081443343308923e-01,1.265726652595243307e+00,2.459815834297769122e-01
-1.462954252276968958e-01,1.256518537256834822e+00,2.245494133708570150e-01
-1.562457106040447963e-01,1.245757862428856333e+00,2.167224983842376551e-01
-1.842035128533315858e-01,1.232672769240304333e+00,1.933002712500481723e-01
1.002900424426766968e-02,1.221457208108075010e+00,1.798817958135714434e-01
-1.352292986738368175e-02,1.211458711120993126e+00,1.953060720989019672e-01
-2.637141448257266374e-01,1.210228685255469117e+00,1.771772098400949957e-01
-2.597248483935088448e-01,1.179048642590257989e+00,1.425632431337564565e-01
-8.630493311175080340e-02,1.196046646902682919e+00,1.252322401613930325e-01
-9.637973079424044798e-03,1.168084015443729307e+00,1.253022565114063624e-01
-1.718483761144007360e-02,1.145546196356000967e+00,1.233046455455081986e-01
-9.688107342622342966e-02,1.154973012436003144e+00,1.218652889891183588e-01
-2.481915863684648893e-01,1.137513741035509618e+00,1.039284308602633766e-01
-1.392515661062138643e-01,1.131859758283512596e+00,7.222697171542545591e-02
-2.677254537366113851e-02,1.117512260305843164e+00,7.607811763902071200e-02
-1.005223941625160156e-01,1.108093368404698964e+00,6.687246264069310331e-02
-1.815864094317684585e-01,1.079864090715644709e+00,5.597363880651751167e-02
-9.077358184186473666e-02,1.069110785279547615e+00,3.055518075433925201e-02
-3.816513927132199335e-02,1.064669958205709754e+00,3.781892243814426180e-02
-1.300322303178872707e-01,1.052225334882074925e+00,2.292215290007488041e-02
-1.980269629633738537e-01,1.039327689546612810e+00,1.181247637456682084e-02
-1.176350350151509072e-01,1.033137706441500825e+00,-1.668323969259976475e-02
4.046177427676267424e-02,1.023647256649242943e+00,-1.171453062846308096e-02
-9.253172485965396876e-02,1.000078407729953378e+00,-8.590884837247207348e-03
-1.537551639436406936e-01,9.801188579172083193e-01,-3.022087560039380880e-02
-1.587057320094643620e-01,9.763748679651855777e-01,-3.934191762597526176e-02
-1.749779117456586319e-01,9.378779150519674923e-01,-6.196202200228659307e-02
1.937748246782500239e-04,9.378796634396296961e-01,-7.433749997510692709e-02
-3.328013023980236351e-02,9.066679029813741186e-01,-6.192326703735116095e-02
-1.386618841291924475e-01,8.842675746082978572e-01,-8.099352602306737758e-02
-1.013458902466842781e-01,8.832048297166824602e-01,-8.965564386318955470e-02
-1.296952921682431592e-02,8.596670109854877007e-01,-1.012627040724043970e-01
-7.386780747377463818e-02,8.433957571551173871e-01,-9.224954970655480091e-02
-1.747489077193789542e-01,8.183622691952863182e-01,-1.160362655671592774e-01
-5.214036123375931364e-02,8.032951288029712700e-01,-1.271993312504304807e-01
-2.332719509803560243e-02,7.720273273444143713e-01,-1.264643378139111152e-01
-6.622730823517197773e-02,7.397393146518124185e-01,-1.318647702700377344e-01
-1.437865195640980476e-01,7.142076978047875446e-01,-1.397097994609455551e-01
-8.909471419009351578e-02,6.931150951009547034e-01,-1.606220741828572329e-01
4.304710148355728183e-02,6.582433747437663740e-01,-1.575287422989642139e-01
-1.689343185673486403e-04,6.173069734102383244e-01,-1.520126538861458210e-01
-5.273755578117655940e-02,5.986423907782292275e-01,-1.575625291626778779e-01
-1.174050048375412381e-01,5.380081126758284871e-01,-1.625601650423811884e-01
-5.453809616951832417e-02,4.959827129560405168e-01,-1.810435301301860367e-01
-6.256710391181785624e-02,4.319846569617499243e-01,-1.734677842762848143e-01
-2.982376924499807735e-02,3.775347989334741916e-01,-1.935569509125501519e-01
-2.406436070281403605e-02,2.724667908974297004e-01,-1.794325381252850626e-01
-3.950851956160150724e-02,1.422487125386429074e-01,-1.983698230531129314e-01
1.103558101550762283e-01,-3.772971565648353814e-02,-1.873342420376053474e-01
-4.870523800010490012e-02,5.853005207488315431e-01,2.366689904994067062e-01
-7.266965194940921968e-02,8.912746382477061413e-01,2.317984666993962162e-01
-1.166215914497561457e-01,1.153721312598499971e+00,2.221350601095248845e-01
-1.306440072195615976e-01,1.199681307908736283e+00,2.084741484094450314e-01
-1.377049889137256233e-01,1.188371041683961682e+00,1.960062586656125538e-01
-1.284489041182360625e-01,1.248390116915389703e+00,1.809331506266999012e-01
-9.891987664507373434e-02,1.201422292024100003e+00,1.703164778419653247e-01
-1.039283679579483533e-01,1.165493565940457055e+00,1.611491752976851599e-01
-1.368578090257390745e-01,1.227704078915760944e+00,1.495308042503756540e-01
-1.310220061235589650e-01,1.156674090952685141e+00,1.337776134925373617e-01
-9.385661027046288130e-02,1.183361758932198082e+00,1.233264030256638610e-01
-1.139748124084764003e-01,1.147456671498413350e+00,1.150062914384447771e-01
-1.057540931245486981e-01,1.147706197476503709e+00,1.005314405439685643e-01
-9.582814267887584947e-02,1.129307414346932603e+00,9.385547281353501248e-02
-1.405592578535967974e-01,1.137381526846406254e+00,8.136581200819338611e-02
-1.417459087225315106e-01,1.110085353995769131e+00,6.574362124281565856e-02
-9.597968604097273371e-02,1.115103676970075730e+00,5.301663026368710202e-02
-9.164630230171183500e-02,1.074728396059253965e+00,4.654768403462108961e-02
-1.271537942315416059e-01,1.075355141544219961e+00,3.468736980334474751e-02
