dydt,x,y
5.824590473460300011e+00,4.261111992720478803e+00,-7.278653270060729819e-01
6.162945208362240912e+00,4.151288557775657750e+00,-1.454062796600428809e-01
4.266641775483835275e+00,4.100255922092720162e+00,5.047237146663754448e-01
3.878007329097603595e+00,3.917777734759302355e+00,7.079220754367242519e-01
3.279837347303700135e+00,3.806437097277565851e+00,1.280325180485895942e+00
1.967791468793558707e+00,3.646226112173518441e+00,1.363889544897464168e+00
4.926349074720612897e+00,3.466725631519679052e+00,1.673883474244607816e+00
4.513136761697781552e+00,3.339586624942803006e+00,2.349159359841586969e+00
2.929230748083288205e+00,3.182072193116172620e+00,2.576510826584163638e+00
4.128244322214253970e+00,3.110119678508432628e+00,2.935005509458244344e+00
2.086448175776622449e+00,3.038130805834880821e+00,3.402159691027013988e+00
1.834159161602926247e+00,3.042655112061718903e+00,3.352295144613568478e+00
4.342452045376880676e+00,3.059437071849413936e+00,3.768991523347600126e+00
4.150442342989414612e+00,3.066769804719034820e+00,4.220785553688943814e+00
4.580761895204325640e+00,3.133354796567573430e+00,4.599079991945483670e+00
2.980606916260118311e+00,3.200687043533209319e+00,5.136937932729807699e+00
1.371698502774940209e+00,3.235392026352015726e+00,5.195201375197506799e+00
2.095266638979506268e+00,3.228821425039937854e+00,5.411277633284796273e+00
2.653442179606358309e+00,3.238254544864101359e+00,5.614254702993407342e+00
4.102252762757881754e+00,3.299271519157997989e+00,5.941966069206069179e+00
4.879715213514504768e+00,3.203590447949080211e+00,6.434705255544981739e+00
1.897685504538017653e+00,3.146514714187647943e+00,6.917909111908970843e+00
2.035786741964265900e+00,3.018736980010245485e+00,6.814242356452585803e+00
2.009183438866173788e+00,2.864047828300867238e+00,7.325066460301824733e+00
2.101299422718916787e+00,2.740504018648466822e+00,7.216079044225821804e+00
3.379684722154038923e+00,2.691676512879627836e+00,7.745326344845605782e+00
2.649126800253320368e+00,2.530557462195477392e+00,7.892015988656626568e+00
1.718056453777911941e+00,2.373342007043465873e+00,8.275151704896270388e+00
2.267710079825960179e+00,2.243344633620848683e+00,8.235627279412209845e+00
3.274221015688063119e+00,2.209085449595191264e+00,8.728693720861462779e+00
3.511206574862647756e+00,2.114107418748989442e+00,8.890471482549825666e+00
2.955543851315198367e+00,2.026499807087025484e+00,9.430935035833991620e+00
1.918911886604554695e+00,2.021859135512033667e+00,9.481580252812864984e+00
3.022283885785874702e+00,2.014167169417543590e+00,9.814717413154902204e+00
1.405996007808063553e+00,2.059057829523403438e+00,1.008603702997004170e+01
1.027118376693771040e+00,2.060263284074626000e+00,1.009591661471651669e+01
3.751273734936610538e+00,2.141211946941734556e+00,1.029146070530879520e+01
4.037179813666902817e+00,2.292095269960733983e+00,1.084617136170384022e+01
2.398049922152509339e+00,2.283606360228470411e+00,1.109889666804217612e+01
1.025345652846205269e+00,2.384337797773929069e+00,1.132578134613434173e+01
5.457361637389723796e-01,2.463739897687330149e+00,1.130396579861142037e+01
2.855702389520033080e+00,2.508588066571583841e+00,1.143492857888213798e+01
2.192328013186660485e+00,2.533606223143471059e+00,1.187510627651542450e+01
1.818465283113873454e+00,2.519647867923338502e+00,1.187339418151946902e+01
5.160925651147088900e+00,2.584578307725362123e+00,1.223879933313820345e+01
3.870842502284816078e+00,2.537276849719523941e+00,1.290557931174888395e+01
5.203176396225046574e-01,2.486372909477631232e+00,1.301296783359516240e+01
7.294384530450059856e-01,2.419003225919903688e+00,1.300964283967338631e+01
1.050038559791786952e+00,2.323406987080399499e+00,1.315885552420416538e+01
2.876597661719159760e+00,2.262012481687170951e+00,1.321965055163174263e+01
2.894518815535306544e+00,2.177726039737258645e+00,1.373417505654799520e+01
1.817227640621254636e+00,2.025172549259454780e+00,1.379855431473880145e+01
9.466889547962438201e-01,1.930995561214227552e+00,1.409762058467224399e+01
1.025413073660587315e+00,1.817921187669221839e+00,1.398789210569804631e+01
2.476324008812483157e+00,1.708383413746216384e+00,1.430270319940435542e+01
2.554974621611705743e+00,1.622688694799001352e+00,1.448315690746054152e+01
2.032194351926776221e+00,1.476888710234273372e+00,1.481369812372669692e+01
6.371933987885540773e-01,1.388713545928743409e+00,1.488959577784589960e+01
1.492253748469764218e+00,1.341988612721635388e+00,1.494113680348440809e+01
2.058785660988959876e+00,1.235324935934648982e+00,1.518804652753984996e+01
1.323468401073043310e+00,1.236163552373071406e+00,1.535289393568219651e+01
3.139105279029507756e+00,1.232690972366920157e+00,1.545274020775445578e+01
3.024905434161624385e+00,1.203158066795290582e+00,1.598071499148809771e+01
3.038452785360163944e+00,1.240006476836734706e+00,1.605772129458677711e+01
2.114330916348308165e+00,1.212601491390232544e+00,1.658840554856012517e+01
5.980090592709501607e-01,1.249940707399138207e+00,1.648058747785643874e+01
1.039861136165967537e+00,1.366114017475108300e+00,1.670800736041431733e+01
1.987604861884449292e+00,1.451977524561414823e+00,1.668855970508963438e+01
1.725108224549302349e+00,1.537452844316959499e+00,1.710552833279121288e+01
-7.012522454139116235e-01,1.611072627436564098e+00,1.703358134999950124e+01
2.390367800162891854e+00,1.725712309240054809e+00,1.696527788370843126e+01
4.296282236713025782e+00,1.825248964865756829e+00,1.751165491003208530e+01
6.225045470571188844e-01,1.871587858625835432e+00,1.782453433105103713e+01
5.564700517350047448e-01,1.940026880107442953e+00,1.763615581944350552e+01
2.611972705452672017e+00,1.977994055843627308e+00,1.793582834139803239e+01
1.457163903439351316e+00,1.972344402292751209e+00,1.815855036053403637e+01
1.679610822510028356e+00,2.081730759614043524e+00,1.822726112208590266e+01
-5.879669250257677504e-01,2.084227019248292567e+00,1.849447252503604133e+01
1.831218557156560678e+00,2.140522891956157192e+00,1.810966773708074129e+01
3.471975059300376643e+00,2.088676102575020455e+00,1.886071623646734352e+01
2.106270927139348714e+00,2.104135182102536472e+00,1.880406274894081520e+01
3.373839918451167819e+00,2.035306273559783108e+00,1.928197042189521326e+01
7.492862243508540132e-01,2.012595536579839361e+00,1.947883073263104947e+01
1.090993036605411248e+00,1.935887674339376030e+00,1.943182766676538975e+01
3.721618136584510239e+00,1.819949395547907800e+00,1.969702933995213101e+01
1.539950643684576903e+00,1.740358240533665946e+00,2.017615129408229180e+01
-8.905580690725543036e-01,1.606855893028847460e+00,2.000501946868904568e+01
1.294567497786431431e+00,1.570119144959447377e+00,1.999803968026778378e+01
1.166989439599504408e+00,1.450316459859254614e+00,2.026393296824632984e+01
-8.779869807564750772e-01,1.360447368290405024e+00,2.023143756818768324e+01
3.962670547677902277e-01,1.262029004616233019e+00,2.008833557209503695e+01
3.355076617955518259e+00,1.126638115215205183e+00,2.031069097914124200e+01
3.202539219553827365e+00,1.006944703910224614e+00,2.075935089568614700e+01
3.127898782878730799e-01,9.439508118214378074e-01,2.095119882305201386e+01
3.078124362310461493e-01,8.255168864470401324e-01,2.082190887134371948e+01
2.616262844910437479e-01,7.177474770191604181e-01,2.101276131029822025e+01
1.705636760538311592e-01,6.612340609534310687e-01,2.087423412824192326e+01
3.404428265107483753e+00,5.607785829889714302e-01,2.104687404550898222e+01
2.712861602454680110e+00,4.970148108946029208e-01,2.155511978126341788e+01
3.432658473649764508e-01,4.359930460279507480e-01,2.158944636599991540e+01
1.000308692820615519e+01,5.628755625941146867e+00,5.043133646572917073e-02
6.295382650435760397e+00,5.405252089731621190e+00,1.050740029286344690e+00
4.075847796628583986e+00,5.139859662994984646e+00,1.309507866552881428e+00
3.492432361198695823e+00,4.951542646047968788e+00,1.865909588612062020e+00
5.124554934300743270e+00,4.722270285616348318e+00,2.007994338792621125e+00
5.752233007606378123e+00,4.572948297628619763e+00,2.890820575472210496e+00
4.070530984255496421e+00,4.513639595510641200e+00,3.158440940313896217e+00
8.159941651954619957e+00,4.438455570857398058e+00,3.704926772323310136e+00
5.677138518399956979e+00,4.392728113641703125e+00,4.790429270704819942e+00
2.182387109410207415e+00,4.459100573726903605e+00,4.840354476003301265e+00
4.354695211462050963e+00,4.405836989164885864e+00,5.226906692586861247e+00
4.278890438072775027e+00,4.391741576121244606e+00,5.711293518295711635e+00
4.185215538550647096e+00,4.356291742575216119e+00,6.082684780201416785e+00
4.042465720684965902e+00,4.211167549349235095e+00,6.548336626005839101e+00
5.323806467068592951e+00,4.165229316595892683e+00,6.891177924338410143e+00
1.154372738902097240e+00,3.982553546771344433e+00,7.613097919419556270e+00
2.013784232012568509e+00,3.776811696999202272e+00,7.122052472118828526e+00
5.832467134629304439e+00,3.656710943312522666e+00,8.015854765822069794e+00
1.950229838722727038e+00,3.523371507057838858e+00,8.288545899044688525e+00
2.939089048138718852e+00,3.370845988533651916e+00,8.405900733566616267e+00
5.298793858188098227e+00,3.244310702629234822e+00,8.876363708672428743e+00
5.264116844360572145e+00,3.151522600789702366e+00,9.465659505204236268e+00
3.033732416504733465e+00,3.120158243257052266e+00,9.929187077544543882e+00
2.489452927530713566e+00,3.031272782628451345e+00,1.007240598850518332e+01
3.421669097252177494e+00,3.189197530427259508e+00,1.042707766305068695e+01
5.202283813990568717e+00,3.169180323106035146e+00,1.075673980795562024e+01
2.211506429397921636e+00,3.294012101762130218e+00,1.146753442584879856e+01
3.186460126705966900e+00,3.228394264445100692e+00,1.119904109383520563e+01
2.149372290902263671e+00,3.317951718258473903e+00,1.210482645118999301e+01
2.964910731325531401e+00,3.354633263524480657e+00,1.162891555201565907e+01
6.620942588439106657e+00,3.328813644127958771e+00,1.269780859745509360e+01
7.096201881234378561e-01,3.302741786898947485e+00,1.295310406970347472e+01
1.975443116945626798e+00,3.216801813775835850e+00,1.283973263507978224e+01
4.457514547650404779e+00,3.106514895960450051e+00,1.334819269309259937e+01
2.671954063245877364e+00,3.018045552724942127e+00,1.373123554460986284e+01
2.847634074459378439e+00,2.918030657392687299e+00,1.388258350574177946e+01
2.572857727405178707e+00,2.694786111265949913e+00,1.430076235950173924e+01
3.182525546553137019e+00,2.566474771410375944e+00,1.439715505122281591e+01
1.776123041501705302e+00,2.484519958508240034e+00,1.493726746881236700e+01
1.530550627557843768e+00,2.324190024333152138e+00,1.475237965952315733e+01
1.702907760527892833e+00,2.244103087461316370e+00,1.524337759432393646e+01
3.256021392017771632e+00,2.143140110319792679e+00,1.509296121162873128e+01
3.168392903916071646e+00,2.099537865594164110e+00,1.589458187272748191e+01
-4.439035721270556678e-02,2.131954157065307331e+00,1.572663979241194276e+01
2.560006367226307589e+00,2.077152973176590756e+00,1.588570380128494186e+01
3.794834802577682353e+00,2.165356752546314656e+00,1.623864106585720180e+01
1.470589818089948153e+00,2.212426483882487638e+00,1.664467076180048011e+01
