dydt,x,y
-4.392153993814948976e+00,1.002159813847425474e+00,3.000937978448633636e+00
-3.483516690209489397e+00,7.049093220284854411e-01,2.561722579067138739e+00
-2.088675281940668427e+00,5.601610802422090085e-01,2.304234640406735757e+00
-1.332774662612159489e+00,4.625555511765820360e-01,2.143987522679005053e+00
-8.644331926727275572e-01,3.895463998399814054e-01,2.037679707884303859e+00
-6.122254753264932958e-01,3.500041084715078687e-01,1.971100884144459719e+00
-4.603067670740053074e-01,3.005708049792109593e-01,1.915234612819005200e+00
-3.026949871181070506e-01,2.737479135523062101e-01,1.879039530729659013e+00
-2.293600965260171876e-01,2.488908799393771965e-01,1.854695615395383523e+00
-9.651526805051346969e-02,2.221505263059878887e-01,1.833167511424455443e+00
-6.374388037541756091e-02,2.080631305290850386e-01,1.835392561785280874e+00
-5.069869817578975812e-02,1.971580092695315312e-01,1.820418735349372152e+00
7.281125885522143903e-02,1.734486674766150538e-01,1.825252822150122967e+00
2.748892556658333319e-02,1.605507951004944700e-01,1.834980987120416351e+00
9.909526861651585250e-03,1.506651025274950706e-01,1.830750607263439855e+00
3.788095558969928334e-02,1.438023759369209953e-01,1.836962892492746136e+00
4.245306050304975543e-02,1.185990172337741122e-01,1.838326798381379801e+00
8.026361169563323017e-02,1.187104270285398722e-01,1.845453504593355998e+00
8.211960262455875181e-02,1.066358110390017849e-01,1.854379520720506047e+00
7.796133395016013878e-02,1.033254902977363554e-01,1.861877425118268148e+00
5.002296990182308889e-02,8.952151814728832868e-02,1.869971787510537720e+00
8.656604158236191893e-02,7.972103888027261276e-02,1.871882019098633387e+00
9.293052973791482430e-02,7.983960323574221252e-02,1.887284995827009926e+00
3.307155840528075430e-02,6.876209889893172833e-02,1.890468125046216308e+00
4.206700210214009417e-02,6.197491444151357470e-02,1.893899307508066121e+00
8.835182729806057012e-02,6.086252220761571158e-02,1.898881525466644460e+00
9.804841691798316106e-02,4.912142308229550114e-02,1.911569672967678102e+00
8.389067676485240099e-02,4.612828462468090973e-02,1.918491208850241048e+00
4.366978847931868302e-02,5.753644471142668054e-02,1.928347808320648449e+00
6.931915921365217059e-02,3.847535944413435494e-02,1.927225166546104873e+00
8.774625432877947162e-02,3.691023166982589782e-02,1.942211640163378883e+00
2.542801471108546707e-02,3.256782275574397756e-02,1.944774417411860190e+00
2.545239791331255219e-02,3.300822143194122316e-02,1.947297243105596154e+00
5.366869702045917734e-03,2.183890558037939605e-02,1.949864896994522701e+00
5.354896589388324912e-02,2.645081765070297908e-02,1.948370617046005338e+00
4.955197189169169292e-02,2.350070391511699733e-02,1.960574690173299883e+00
3.087964132448739463e-02,2.333016229174766573e-02,1.958281011424343188e+00
9.843596693760048311e-02,2.078107627995411794e-02,1.966750618438197540e+00
3.191989675595863218e-02,1.470752493898241746e-02,1.977968204811863417e+00
-1.104918265036225478e-02,2.285169334479934117e-02,1.973134597789389266e+00
3.373171050349910161e-02,1.175673554029381743e-02,1.975758368281791189e+00
3.760841791278224377e-03,1.736437036821792887e-02,1.979880939890088953e+00
-2.624266780826545187e-02,1.452219720222893903e-02,1.976510536640046611e+00
1.214817926738831488e-03,8.376926194007407178e-03,1.974632406328435952e+00
6.117498837424939495e-02,1.237414629521981467e-02,1.976753500225394422e+00
3.669021637703728800e-02,-4.278613425902216827e-04,1.986867404003285875e+00
9.277028284575550288e-04,9.747864173343900179e-03,1.984091543500801968e+00
-2.078466866226946763e-02,4.593519471716977012e-03,1.987052944568977297e+00
-2.612005382853510582e-02,5.640110877616977617e-03,1.979934609768348119e+00
1.012286668955049151e-01,9.784149334569221951e-03,1.981828933803270187e+00
3.408087454700847729e-02,6.048264498300426339e-03,2.000180343147448969e+00
-8.767771725099926527e-02,1.415286849470945643e-02,1.988645108712671528e+00
-1.437291134138440896e-02,1.802489303639543197e-04,1.982644799697248938e+00
4.376220431770327934e-02,2.937016146247184694e-03,1.985770526444395001e+00
6.168290821529076595e-02,9.285186073906135512e-03,1.991397240560789372e+00
2.324883537563948721e-02,1.540497989839936408e-03,1.998107108087453287e+00
-2.076927743823908656e-02,4.985217227508871238e-03,1.996047007635917359e+00
3.899766574312124590e-03,1.963910191392618902e-03,1.993953252599805603e+00
-9.351262438629603935e-03,4.387754922257569579e-03,1.996826960950779606e+00
2.365829937569330355e-02,-5.234096477955587148e-03,1.992083000112079949e+00
1.292617980561061586e-02,5.032054525498524250e-03,2.001558620825918400e+00
-3.322848264356004222e-02,1.910613851038639108e-03,1.994668236073201983e+00
-5.392301516545572326e-03,1.125889006835937125e-03,1.994912924297206347e+00
2.213418904349850891e-02,4.565385163509008346e-03,1.993589775769892825e+00
5.114944522049924558e-02,3.787135603606054529e-03,1.999339762105905915e+00
1.401397809595827937e-02,8.467218260583948830e-03,2.003819664813992762e+00
-7.585791044165546282e-02,3.262394713072503663e-04,2.002142557725097749e+00
-2.028494305209704862e-02,-6.232339016851450725e-03,1.988648082725661626e+00
4.951673013509605425e-02,-1.109767723058590130e-02,1.998085569114678606e+00
-4.161863328778991900e-03,1.715029386769017714e-03,1.998551428752680659e+00
2.095006428860379799e-02,6.572013480344801942e-03,1.997253196448922852e+00
2.720724201195601211e-02,-8.395952267212321643e-03,2.002741441610401463e+00
-4.146619380225757823e-03,1.021338524162994713e-02,2.002694644851314099e+00
-8.159301497109083812e-03,5.694715119387675460e-03,2.001912117734356400e+00
-5.541438850290880680e-02,-2.192515582474971816e-03,2.001062784551892015e+00
-2.326483292595327157e-02,9.061406250376768945e-03,1.990829240033774816e+00
4.004337317345552094e-02,1.839492976470124891e-03,1.996409817966701583e+00
2.456316790915735737e-03,-1.949571451535465688e-03,1.998837914668466276e+00
-1.108297549105508040e-02,4.431405415582286163e-04,1.996901081324884641e+00
-1.908059695164610048e-02,-9.245748909692870108e-04,1.996621319570255570e+00
1.405225773162754876e-02,-1.124256797527701775e-03,1.993084961934555421e+00
3.865107490262964518e-02,3.357766720850918762e-03,1.999431771116580991e+00
-2.281906134174960243e-02,8.134189201872088493e-03,2.000815176915081484e+00
2.666355330651626332e-03,1.425038032801786243e-03,1.994867958848230982e+00
2.218422775521133872e-02,-4.357559917821968165e-03,2.001348447981211809e+00
8.281273852535520064e-03,7.441436287328759801e-03,1.999304804399273161e+00
-3.717090217243423922e-04,4.656503786449650399e-03,2.003004702751718824e+00
-4.328862420966217428e-02,-1.935966572414738992e-04,1.999230462594928426e+00
1.752975986449811785e-02,3.838404606387715769e-03,1.994346977909786434e+00
1.206855393324879344e-02,5.895451533806438191e-04,2.002736414567828138e+00
1.522445799899152519e-02,-8.416184917619633221e-03,1.996760688696436192e+00
-8.437409906148829464e-03,-4.442373305860143964e-03,2.005781306167626177e+00
-2.111561365524394773e-02,3.104963302914182533e-03,1.995073206715205938e+00
5.167062258738219782e-02,9.851662961066976615e-03,2.001558183436577210e+00
6.172092464847622750e-03,8.997166697108574876e-03,2.005407331232682555e+00
-3.248307125346983071e-02,-1.415121747853500351e-03,2.002792601929546557e+00
-9.617886728831237519e-03,5.359046328340289107e-03,1.998910716981988633e+00
2.430638204164381477e-02,-9.523604596479667925e-04,2.000869024583780131e+00
-4.658281669135178049e-03,-3.852586346512679519e-03,2.003771993390317085e+00
-3.834625140363825957e-02,-1.691116667955310524e-03,1.999937368249953273e+00
-2.062375119471520968e+00,3.994396702728877369e+00,9.963375438244370663e-01
-1.693838950232883889e+00,3.181675992111912876e+00,7.901000318772849473e-01
-1.007554306776962338e+00,2.771861662872461718e+00,6.575697537778603108e-01
-6.080574489937804472e-01,2.527718621863500825e+00,5.885891705218925241e-01
-4.658668328147785864e-01,2.383440046120795852e+00,5.359582639791041769e-01
-4.749692125573283796e-01,2.306773669292657480e+00,4.954158039589368623e-01
-3.647657433946132066e-01,2.258693051740589652e+00,4.409644214676384233e-01
-2.001192870024501858e-01,2.236683081544868834e+00,4.224626552800141988e-01
-2.403820633817901342e-01,2.241232472548928101e+00,4.009405640671484528e-01
-2.617634964143538134e-01,2.223408108311008657e+00,3.743862426036561608e-01
-1.820926840741481367e-01,2.248013999505025229e+00,3.485878647842776679e-01
-1.517446884466100432e-01,2.266168638221075948e+00,3.379677057888265113e-01
-2.137427913559428738e-01,2.277075424883196586e+00,3.182389270949556592e-01
-2.216597447427004486e-01,2.295935088965724624e+00,2.952191475176378921e-01
-1.560539006693313357e-01,2.334318548317557251e+00,2.739069781464156250e-01
-1.551902776658855565e-01,2.362413765608847083e+00,2.640083673837715361e-01
-1.774074491462658276e-01,2.388306298136385841e+00,2.428689226132385304e-01
-1.104092443844062466e-01,2.410942588740814685e+00,2.285268775545183373e-01
-1.357896682032917468e-01,2.443082299733126739e+00,2.207870737363572533e-01
-1.627363783512174589e-01,2.476074022987025725e+00,2.013689439138600379e-01
-1.376568799671323839e-01,2.508116040734356122e+00,1.882397980661137116e-01
-1.523505232749744476e-01,2.543294319173194040e+00,1.738375679204335889e-01
-1.470574704205139804e-01,2.574315458289476943e+00,1.577696934111187943e-01
