dydt,x,y
-1.322706611171176050e-02,-4.221453263704673109e-01,1.078940866766443962e+00
-7.941717776975387721e-03,-3.561787114690788125e-01,1.077618160155272786e+00
-1.185039558958678185e-01,-3.073153862227556155e-01,1.077352523211048796e+00
-1.177338959138420904e-01,-2.546465692816807236e-01,1.053917368976099445e+00
-2.255116077595875623e-02,-1.850265260792320066e-01,1.053805744028280644e+00
-1.241305868819795322e-01,-1.567068884448032384e-01,1.049407136820907693e+00
-5.735138887849178246e-02,-1.034934529559549399e-01,1.028979626651884471e+00
-1.219523853564208338e-02,2.138364576935967987e-04,1.037936859045209381e+00
-7.299122610804786859e-02,2.315500124667227433e-02,1.026540578944756144e+00
9.786410676151202637e-02,9.920602055051075396e-02,1.023338613823599808e+00
6.498041969710133259e-02,1.547269311699198957e-01,1.046113400297058460e+00
-1.723237358583507017e-02,2.152839979758139066e-01,1.036334697763019896e+00
1.541573841439500825e-01,2.667594694202616856e-01,1.042666925579891490e+00
1.394588263449403343e-01,3.182656662926705571e-01,1.067166174591809735e+00
1.292869251395867281e-01,3.611444955883922892e-01,1.070558690848879779e+00
2.061606148363539504e-01,4.334999619182396402e-01,1.093023559619726859e+00
9.027561109015636021e-02,4.571098616250612867e-01,1.111790813816150747e+00
3.626899716604103929e-02,5.102158074405865884e-01,1.111078681837758042e+00
1.176366331893010653e-01,5.520794958371019190e-01,1.119044613249358777e+00
1.297470648314478225e-01,5.752672151243378718e-01,1.134606008475618433e+00
1.330329187552834469e-01,6.224468723024427774e-01,1.144994026215648164e+00
1.343341223339047374e-01,6.823314427414659544e-01,1.161212592226675167e+00
1.559946548067907557e-01,7.177352649590542644e-01,1.171860850682429289e+00
1.918352441162012312e-01,7.361602280395698195e-01,1.192411523188033451e+00
1.648796799198342100e-01,7.601130465780036038e-01,1.210227899505669447e+00
1.961312350246107172e-01,7.958692689934533382e-01,1.225387459172000648e+00
2.233233989355589699e-01,8.091872537876229066e-01,1.249454146510591279e+00
7.755060126883517313e-02,8.368721759137361937e-01,1.270052138959112398e+00
1.436699691353959807e-01,8.539942190401929034e-01,1.264964266764358358e+00
2.071422584703110914e-01,8.664419429443099840e-01,1.298786132786191594e+00
5.140871462599161390e-02,8.825237126314361413e-01,1.306392718458420976e+00
-1.225575576434145830e-02,9.057970077430740341e-01,1.309067875711389828e+00
2.262382233739606008e-01,9.062997569154906952e-01,1.303941567305552773e+00
1.290325104597096484e-01,9.318780871939496002e-01,1.354315520386182081e+00
-1.190478869597288991e-02,9.620080141621191183e-01,1.329748069397494570e+00
2.023017613427011696e-01,9.600962931819850832e-01,1.351934562646987414e+00
1.231802708018250314e-01,9.694987300487803994e-01,1.370208421666034404e+00
1.153360640023848305e-01,9.974893676727619729e-01,1.376570616807352376e+00
1.543177691392108031e-01,9.901000301349642818e-01,1.393275634466511370e+00
1.028105178450546831e-01,1.016142207006450304e+00,1.407434170635194715e+00
6.723213432396857314e-02,1.030451960208895068e+00,1.413837738035522484e+00
1.283586134270784385e-01,1.012276358691741818e+00,1.420880597499988518e+00
8.099922184015984072e-02,1.001508355123704064e+00,1.439509460720937994e+00
1.102349557848203432e-01,1.057778742414698936e+00,1.437080441868020309e+00
9.913952435475881231e-02,1.052553352238183804e+00,1.461556451877902285e+00
4.815240872071058220e-02,1.046345238137190714e+00,1.456908346738972293e+00
8.356995269222178280e-02,1.070914851837503345e+00,1.471186933622044446e+00
1.148729079345898185e-01,1.067813918522410033e+00,1.473622337277416650e+00
1.110704708839680421e-01,1.093295220941277623e+00,1.494161515208962676e+00
3.561745118050652081e-02,1.098413891825527289e+00,1.495836431454210302e+00
7.530301810061157397e-02,1.080922613817953737e+00,1.501285005445063936e+00
1.372098100748440075e-01,1.072538521509933895e+00,1.510897035074332706e+00
1.483400796329874538e-01,1.095910294147842912e+00,1.528726967460032560e+00
1.327775567851494642e-01,1.081635932415643486e+00,1.540565051000930108e+00
9.816588563945138901e-02,1.080648644769373501e+00,1.555282478817062497e+00
-2.842497643046382194e-02,1.091188521456466276e+00,1.560198228128820253e+00
9.194702842895985384e-02,1.074208469778550112e+00,1.549597483530969599e+00
1.297600922453474581e-01,1.091622052867231574e+00,1.578587633814611868e+00
7.999047715155604976e-02,1.089362730635523135e+00,1.575549501980038736e+00
6.190256893655199377e-02,1.088124258227107566e+00,1.594585729244923034e+00
2.535683376231290254e-02,1.082972972938824441e+00,1.587930015767349046e+00
1.586418904636719418e-01,1.086344586680919821e+00,1.599657095997385703e+00
8.594119706204583764e-02,1.098644969908561864e+00,1.619658393860083256e+00
6.656911267357124018e-02,1.092379060869415497e+00,1.616845335409794693e+00
-1.991011250503404995e-02,1.078554767911758638e+00,1.632972216394797504e+00
1.721347788389433475e-01,1.056953994444839395e+00,1.612863312908787927e+00
2.592901235638347401e-01,1.068350311869648461e+00,1.667399172162586707e+00
2.584522693242341518e-02,1.079407355294686122e+00,1.664721337621555275e+00
6.111450328977952040e-02,1.040816376518619357e+00,1.672568217549071479e+00
8.476649210565057047e-02,1.072045267697173676e+00,1.676944238279511445e+00
6.462900931397719262e-02,1.045087506701109614e+00,1.689521515970201504e+00
1.519827789234131643e-01,1.047253182195401200e+00,1.689870040142307017e+00
