dxdt,x,y
1.328790138586799507e+01,2.891438730754765096e+00,1.092086667701826563e+01
1.166906236911225214e+01,4.220228869341564604e+00,1.077966375503484464e+01
1.018201087153762785e+01,5.225251204577215702e+00,1.114190434052441603e+01
9.932866352615729255e+00,6.256631043649091062e+00,1.184811013830223025e+01
9.369858569140479432e+00,7.211824475100362619e+00,1.213535392625337472e+01
9.141477001831951554e+00,8.130602757477186415e+00,1.363611975058955395e+01
7.676876604270063353e+00,9.040119875466752219e+00,1.260043641305387574e+01
7.022157401671805133e+00,9.665978078331200152e+00,1.493655763306745143e+01
7.295000047513156005e+00,1.044455135580111360e+01,1.580173551851497216e+01
6.146185575356156505e+00,1.112497808783382958e+01,1.657310414846707403e+01
4.719906995459993482e+00,1.167378847087234384e+01,1.600526966080705549e+01
4.407933290490518630e+00,1.206895948692582721e+01,1.841480504035306254e+01
4.819131682795529059e+00,1.255537512897044827e+01,1.836924341391718229e+01
5.550071495757514128e+00,1.303278582348493053e+01,1.798946431866363938e+01
4.452135451576921810e+00,1.366538942812195145e+01,1.910994976705368131e+01
2.128818267004646714e+00,1.392321291380031134e+01,2.013066572120961339e+01
2.259511047180865262e+00,1.409115308152288293e+01,2.073179599062328649e+01
2.656989038347916221e+00,1.437511512323648333e+01,2.151537096326958221e+01
2.534251539830293609e+00,1.462255088919246226e+01,2.394086046277517354e+01
2.679304312738011618e+00,1.488196543120254667e+01,2.284256670749186569e+01
1.522681968483254877e+00,1.515841175174005961e+01,2.373551181780166530e+01
7.114527449114973479e-01,1.518650182489920120e+01,2.363180786920659315e+01
1.883240063752197102e+00,1.530070230072236015e+01,2.476123766209426691e+01
1.492293553745568602e+00,1.556314983764963955e+01,2.559031167242055815e+01
1.601629178621536198e+00,1.559916101147147494e+01,2.594857039092393336e+01
1.555026436466903306e+00,1.588347567337394928e+01,2.705135784148022182e+01
3.546093793640920921e-01,1.591016629876484956e+01,2.772305059917546188e+01
6.264338489297358592e-01,1.595439754924676556e+01,2.791046341497487404e+01
-1.286397227963504974e-01,1.603545306855079744e+01,2.973394927760762485e+01
1.723163581697946256e-01,1.592866960468749582e+01,2.980216097826328081e+01
7.251335119404558327e-01,1.606991634018475779e+01,3.062256050744100477e+01
-5.236129567191483147e-02,1.607369630707558628e+01,3.060740980750758666e+01
-1.024506371951559913e+00,1.605944408105037624e+01,3.105091596595664782e+01
-6.958498408693003512e-02,1.586879503268527358e+01,3.290160945868345266e+01
9.166388898935764473e-01,1.604552708423299023e+01,3.436148972821395375e+01
-3.334060992152529934e-01,1.605212281066399171e+01,3.322924637527837888e+01
1.207455179729208794e-01,1.597884586438993715e+01,3.386566170707824597e+01
-5.836922942543907311e-01,1.607627191425857660e+01,3.392706371965014966e+01
-9.473898336780450791e-02,1.586210740553905829e+01,3.592370922902304642e+01
7.149183956735356560e-01,1.605732411758501499e+01,3.547090408909275538e+01
-1.512915190155993628e+00,1.600509108467376862e+01,3.647224667427231992e+01
-4.743849484714672826e-01,1.575474107955381342e+01,3.652865069651346630e+01
6.164281360292989120e-02,1.591021409497946948e+01,3.667712582524772102e+01
-7.751003830649239035e-01,1.576706964227440011e+01,3.865222477533314560e+01
-1.640722272424412154e+00,1.575519401836648470e+01,3.767554250795336657e+01
-7.712769425774581578e-01,1.543892518778951839e+01,3.814897470107101896e+01
9.647661855810554243e-01,1.560093862985100088e+01,3.918485625356844793e+01
-3.667966074873447724e-01,1.563187842490573409e+01,4.072337707945794705e+01
-1.381771132412765724e+00,1.552757930835353051e+01,3.978798028073177306e+01
-4.794366900492690320e-01,1.535552419842318095e+01,4.043094147157318474e+01
-3.669813937266184212e-01,1.543169197034367812e+01,4.148357127646876563e+01
-1.655312373097004297e+00,1.528212791967785655e+01,4.132174350289385956e+01
-6.245965866550307055e-01,1.510062949572427904e+01,4.239556265022645221e+01
1.642978020668181216e+00,1.515720860234685397e+01,4.302766355834604894e+01
-7.436128370899410811e-01,1.542922509985791635e+01,4.317041142582531421e+01
-1.995691971014224464e+00,1.500848603492886646e+01,4.289565593560462275e+01
-4.389220553876072017e-01,1.503008670565507465e+01,4.331348443685064353e+01
-1.204923610475887585e+00,1.492070162385134502e+01,4.387555189629188845e+01
-9.024904821095276475e-01,1.478910198355989714e+01,4.478920919110773013e+01
-5.270413789074552824e-01,1.474020352742943629e+01,4.503535974419312993e+01
-1.758622617688132550e+00,1.468369370777840643e+01,4.524157755056707231e+01
-1.146707036372276889e+00,1.438847900389180623e+01,4.632002142743237982e+01
1.730853327508015127e-01,1.445435230050394892e+01,4.529066542060266443e+01
-6.047741647276438925e-01,1.442309607044196618e+01,4.675415481797185890e+01
-2.065404098491640639e+00,1.433339746755842015e+01,4.642787173875377960e+01
-8.091512398846418819e-01,1.401001525074364018e+01,4.750479279938546995e+01
-3.926961430431390454e-01,1.417156721958149568e+01,4.769448425979614825e+01
-6.477852056742960940e-01,1.393147602213501735e+01,4.787416707271241734e+01
-2.284724192844294066e-01,1.404201017844664179e+01,4.873406259217182424e+01
-1.158527285607704016e+00,1.388578153827813466e+01,4.803604263802665741e+01
-1.348129776313186312e+00,1.381030472132510134e+01,4.809095324881246114e+01
-5.555065686354367926e-01,1.361615558301549633e+01,4.960048141739010674e+01
-1.910768643064045591e+00,1.369920340759801114e+01,4.947082252949105197e+01
-8.579494861077847645e-01,1.323400185440268295e+01,4.968469540517961747e+01
8.154036302729537056e-01,1.352761351037644921e+01,4.989948638339041764e+01
-1.621731266183502385e+00,1.339708258045727263e+01,4.989562415300796516e+01
-1.451352957542724198e+00,1.320326725713974625e+01,5.026676909681093264e+01
-1.679801071978204163e-01,1.310681198894872779e+01,5.059539746740770028e+01
5.242605985031474347e-01,1.316967123570018217e+01,5.081667844978628779e+01
-6.301745002938474727e-01,1.321166410864935514e+01,5.165684097304066569e+01
-9.125003920027126014e-01,1.304363633564141445e+01,5.105463599438893851e+01
-3.302223045628238651e-02,1.302916403024881298e+01,5.180203563572329273e+01
-1.453641588117875472e+00,1.303703188955015690e+01,5.211926362618111597e+01
-2.285685150554940037e+00,1.273843571262524144e+01,5.159590594925268192e+01
-1.345010130578835117e+00,1.257989485943917174e+01,5.317865152435690135e+01
-1.122057697420189015e-01,1.246943368650947548e+01,5.217942215876509948e+01
-6.940254832986667566e-01,1.255745370549076689e+01,5.295034078193157967e+01
-6.521181440764536319e-01,1.233062858984973609e+01,5.301770279393407037e+01
-1.358021770188770461e+00,1.242703007667546977e+01,5.295456386540929827e+01
-1.138508246677190527e+00,1.205902423581198413e+01,5.215605950782954636e+01
4.573787252787440138e-01,1.219932842734003309e+01,5.322200657285296899e+01
-1.276221409607430246e+00,1.215049998086773186e+01,5.322106361579426448e+01
-1.734309763528585790e+00,1.194408414541854135e+01,5.300542717924891178e+01
-9.992041052624500708e-02,1.180363802816201257e+01,5.382953392508149193e+01
-4.555282965518614446e-02,1.192410006331329342e+01,5.445025440448163323e+01
-2.854553111385342845e-01,1.179452746223097570e+01,5.439484559993015722e+01
-6.529388355048482140e-01,1.186700900108558976e+01,5.413262048536541471e+01
-1.600547549293828808e+00,1.166393969513001139e+01,5.440718099677145148e+01
-1.330987414928536339e+00,1.154689949122682435e+01,5.380184266653783709e+01
-1.491572790825200556e+00,1.139774221214430483e+01,5.317910615423040355e+01
1.028453841675256442e+01,4.883368831803855059e+00,1.009396037004084512e+01
9.769002070616039646e+00,5.911822673479111501e+00,1.068745936840805300e+01
1.042487397909870239e+01,6.837169245927062988e+00,1.246466803256863365e+01
1.066151586048210476e+01,7.996797469298853045e+00,1.343146932850022068e+01
