dxdt,x,y
-1.471173841046726771e+00,1.381510777430578596e+00,2.732963363935492662e+00
-1.427521861507125678e+00,1.234393393325905919e+00,2.741537050163052491e+00
-1.328229663919444192e+00,1.096006405129153372e+00,2.687449527830388263e+00
-1.380541064049812583e+00,9.687474605420172136e-01,2.695107785206501294e+00
-1.268810801447685765e+00,8.198981923191910326e-01,2.676578656505665066e+00
-9.874335426614102573e-01,7.149853002524801937e-01,2.717909043096385258e+00
-9.667366943678610269e-01,6.224114837869088035e-01,2.728462182560420057e+00
-9.872098133569995326e-01,5.216379613789080549e-01,2.743034959405114659e+00
-8.054931272270986486e-01,4.249695211155088970e-01,2.746982771886604446e+00
-5.733466068796708726e-01,3.605393359334884140e-01,2.787324705499557354e+00
-6.859418077998544749e-01,3.103001997395747891e-01,2.737892317347032201e+00
-6.072687690605125255e-01,2.233509743735173636e-01,2.719072681851063322e+00
-4.279083041183185943e-01,1.888464459274721563e-01,2.693168619505437178e+00
-3.770281911648801776e-01,1.377693135498536670e-01,2.671599414632450209e+00
-3.844199576422903664e-01,1.134408076944962013e-01,2.648987839619229678e+00
-3.952513217673344625e-01,6.088532202139566862e-02,2.670570999696600278e+00
-5.089264780449240799e-01,3.439054334102940175e-02,2.546448555384424495e+00
-2.455442441086665428e-01,-4.089997358758922646e-02,2.604688776722731358e+00
6.430058634019103492e-02,-1.471830548070412678e-02,2.591435958236062653e+00
-2.839264494697025798e-01,-2.803985631955111663e-02,2.601362145582647667e+00
-2.335522754306205706e-01,-7.150359537464455462e-02,2.486865654354279087e+00
-5.578449866426876680e-02,-7.475031140567514609e-02,2.467461073667033045e+00
-2.201303868102968964e-01,-8.266049510749831630e-02,2.435780524668218483e+00
-2.775095398843024919e-01,-1.187763887677345670e-01,2.391588746221947837e+00
-2.556221939265345133e-01,-1.381624030843588702e-01,2.421841284017904883e+00
-1.172234996916717842e-01,-1.699008275530413670e-01,2.293736593391491052e+00
-1.015045584631979469e-02,-1.616071030226929883e-01,2.310851596137763142e+00
-1.744866033943789363e-01,-1.719309187223053148e-01,2.273147034025958302e+00
-3.238053963623710452e-01,-1.965044237015688144e-01,2.246724177393510491e+00
-1.983295701731468963e-01,-2.366919979947795794e-01,2.202478890097037123e+00
-3.099352892332252196e-02,-2.361703377361983602e-01,2.064091493738763106e+00
-1.681968211205320252e-02,-2.428907037794440782e-01,2.107348176060601652e+00
6.761505407987744576e-02,-2.395342741586090063e-01,1.993421426348591208e+00
-2.388441997682320128e-01,-2.293676929634685946e-01,1.977964590333608053e+00
-3.957593082778654292e-01,-2.873031141122554533e-01,1.868707320141633987e+00
-1.353126563170106156e-01,-3.085195546190417915e-01,1.836058463210972436e+00
-3.461677684904507224e-02,-3.143656453756574209e-01,1.815847272563047898e+00
-1.547139228215625995e-01,-3.154429099888508281e-01,1.717040197470568241e+00
-1.248199792252395746e-01,-3.453084299399699630e-01,1.701818043883602583e+00
-9.572298720062288879e-02,-3.404069058338987652e-01,1.636831524151248107e+00
-6.007415770146939948e-02,-3.644530273800944409e-01,1.599071834584984586e+00
-2.537027982943285132e-02,-3.524217373741923010e-01,1.496146176843020426e+00
-2.508596976335173423e-01,-3.695270833459807225e-01,1.468464799923508091e+00
-6.907014450323534227e-02,-4.025936769008955918e-01,1.403384998426695285e+00
1.286482636245933620e-02,-3.833411122466273691e-01,1.369234270552762922e+00
-7.539894669418689688e-02,-4.000207116284034692e-01,1.352723981362619288e+00
-1.662508790098815581e-01,-3.984209015854646152e-01,1.181350221813097567e+00
-2.988855820342397607e-01,-4.332708874303795032e-01,1.242970908573833855e+00
-2.790580006229652632e-01,-4.581980179923125229e-01,1.189834530944103852e+00
9.812671870470079938e-03,-4.890824875549725226e-01,1.159911743030712206e+00
3.560452312028083988e-01,-4.562354836182185291e-01,1.096346426253323347e+00
-8.092555744933704887e-02,-4.178734413144107873e-01,1.053513254886729644e+00
-3.061403603895893610e-01,-4.724205951080850951e-01,1.056132466976313466e+00
7.455754590272922755e-02,-4.791015133923283154e-01,1.008345494872062265e+00
-1.047467216790103350e-01,-4.575090859275394717e-01,9.458555291919656938e-01
-8.754609376829547429e-02,-5.000508577281302935e-01,1.012551843067516000e+00
-5.276093280101212812e-02,-4.750183046811979892e-01,9.611849731498517402e-01
-4.975848926948511775e-02,-5.106030442883321419e-01,8.754469257486874323e-01
2.231844382704624152e-01,-4.849700025350945354e-01,8.267713912460381565e-01
-8.758896261614124157e-02,-4.659661566342395700e-01,8.767328578932429561e-01
-1.237258727510752720e-01,-5.024877950583227504e-01,8.506007624613993734e-01
3.086180972167440473e-02,-4.907113311844543135e-01,7.304158341473504512e-01
2.988577175222806304e-02,-4.963154331139877362e-01,7.637579458726804216e-01
3.729491937063533769e-02,-4.847341768340085455e-01,7.361076423004671021e-01
7.974846349127062695e-02,-4.888564492398604910e-01,7.700667186498071359e-01
-6.226374770105236323e-02,-4.687844841357544645e-01,6.506689979608792918e-01
-1.085555405286124930e-01,-5.013091987800714078e-01,7.105179849209667386e-01
1.276269624538590719e-01,-4.904955922414772629e-01,6.352134111247118575e-01
1.204510443904838191e-01,-4.757838062892995601e-01,6.038195429698630656e-01
-8.563830510226688730e-02,-4.664053833633803881e-01,6.041357785868725072e-01
-1.201851145772883100e-01,-4.929114673097528820e-01,6.020227604767698359e-01
1.789509061771674681e-01,-4.904424062788377281e-01,5.755429215226619544e-01
1.011681911149562296e-01,-4.571212860743196771e-01,5.846748721516427105e-01
-1.774955953735521952e-01,-4.702087680558469374e-01,5.431763569428134097e-01
1.040592397109429967e-02,-4.926204051490300495e-01,5.771109186555870574e-01
1.624233571511290997e-01,-4.681275832616280108e-01,5.545143318021140688e-01
1.710015472040780082e-01,-4.601357337188043406e-01,5.620321732088678912e-01
-3.747503032605070672e-03,-4.339272738208125313e-01,5.774504884745947919e-01
-1.553591205285975718e-03,-4.608852343253258543e-01,5.186755583654015789e-01
8.692314745016993527e-02,-4.342379920618702482e-01,5.786790426820878075e-01
-6.052388955397702830e-02,-4.435006048352919672e-01,5.825983362033217983e-01
2.863494132747357312e-02,-4.463427699726655318e-01,5.315041694840583197e-01
6.034456903010942952e-02,-4.377736165697969639e-01,4.432552178609033833e-01
7.389229230941474214e-02,-4.342738561666435460e-01,5.201399259028870459e-01
-5.551772639168506274e-02,-4.229951581079141043e-01,4.847203188572328791e-01
-7.217658312117603003e-02,-4.453774014449805030e-01,4.659658350668050564e-01
7.244537986696952814e-02,-4.374304747321492437e-01,4.787651860281092464e-01
6.755449767086973978e-02,-4.308883254715865085e-01,4.673446283923088362e-01
8.507500712788829134e-02,-4.239195751979752402e-01,4.477394708916709321e-01
-1.848806367738395906e-01,-4.138733240460088503e-01,4.467432889098228999e-01
7.494229056667101041e-02,-4.608957025527430362e-01,3.743479466997070015e-01
3.164700632986103823e-01,-3.988848659326747481e-01,4.628221162103786646e-01
