dydt,x,y
8.573686227559829121e-02,1.381510777430578596e+00,2.732963363935492662e+00
-2.275691805255206646e-01,1.234393393325905919e+00,2.741537050163052491e+00
-2.321463247827590948e-01,1.096006405129153372e+00,2.687449527830388263e+00
-5.435435662361598474e-02,9.687474605420172136e-01,2.695107785206501294e+00
1.140062894494189294e-01,8.198981923191910326e-01,2.676578656505665066e+00
2.594176302737771778e-01,7.149853002524801937e-01,2.717909043096385258e+00
1.256295815436452301e-01,6.224114837869088035e-01,2.728462182560420057e+00
9.260294663092238920e-02,5.216379613789080549e-01,2.743034959405114659e+00
2.214487304722148053e-01,4.249695211155088970e-01,2.746982771886604446e+00
-4.545227269786167312e-02,3.605393359334884140e-01,2.787324705499557354e+00
-3.412601182424701562e-01,3.103001997395747891e-01,2.737892317347032201e+00
-2.236184892079755571e-01,2.233509743735173636e-01,2.719072681851063322e+00
-2.373663360930642341e-01,1.888464459274721563e-01,2.693168619505437178e+00
-2.209038994310414949e-01,1.377693135498536670e-01,2.671599414632450209e+00
-5.142074679246988467e-03,1.134408076944962013e-01,2.648987839619229678e+00
-5.126964211740272503e-01,6.088532202139566862e-02,2.670570999696600278e+00
-3.294111148693446012e-01,3.439054334102940175e-02,2.546448555384424495e+00
2.249370142581916809e-01,-4.089997358758922646e-02,2.604688776722731358e+00
-1.663315570042200875e-02,-1.471830548070412678e-02,2.591435958236062653e+00
-5.228515194089187190e-01,-2.803985631955111663e-02,2.601362145582647667e+00
-6.695053595780766642e-01,-7.150359537464455462e-02,2.486865654354279087e+00
-2.554256484303039088e-01,-7.475031140567514609e-02,2.467461073667033045e+00
-3.793616372254255964e-01,-8.266049510749831630e-02,2.435780524668218483e+00
-6.969620325156711260e-02,-1.187763887677345670e-01,2.391588746221947837e+00
-4.892607641522914719e-01,-1.381624030843588702e-01,2.421841284017904883e+00
-5.549484394007109245e-01,-1.699008275530413670e-01,2.293736593391491052e+00
-1.029477968276637512e-01,-1.616071030226929883e-01,2.310851596137763142e+00
-3.206370937212614791e-01,-1.719309187223053148e-01,2.273147034025958302e+00
-3.533407196446063381e-01,-1.965044237015688144e-01,2.246724177393510491e+00
-9.131634182737418115e-01,-2.366919979947795794e-01,2.202478890097037123e+00
-4.756535701821782425e-01,-2.361703377361983602e-01,2.064091493738763106e+00
