dydt,x,y
1.471881920998193038e+01,4.409861096872958797e+00,1.012200110096062033e+01
4.742092569599137164e+00,5.239555553924189368e+00,1.159388302195881337e+01
-2.114563774063846324e+00,6.525783655111669468e+00,1.107041961488044812e+01
-6.797585105487797819e-01,7.214687220382252519e+00,1.117097026714604624e+01
4.274539252169255121e+00,8.180263806967955631e+00,1.093446791277069430e+01
1.901622606485980072e+01,8.641792649366889734e+00,1.202587811757989655e+01
1.091898946727551589e+01,9.810181293370163758e+00,1.473771312574265657e+01
6.707356664198243834e+00,1.041321662500296341e+01,1.420967601103500577e+01
1.399041505552649767e+01,1.124906175452004753e+01,1.607918445858230427e+01
4.423502319279336348e+00,1.206044859935898472e+01,1.700775902214030566e+01
7.293036882270726551e+00,1.245088375005098769e+01,1.696388492243817225e+01
1.592824843841299298e+01,1.270683952688488105e+01,1.846636639859445239e+01
9.480248877647525774e+00,1.251034827804926763e+01,2.014953461012077440e+01
-4.431648460962023250e+00,1.376249594340597504e+01,2.036241617412395755e+01
1.108451705232809559e+01,1.380361402125949510e+01,1.926320491792836975e+01
1.184238159942142943e+01,1.454914393529742789e+01,2.257931958458956245e+01
1.060447539183599019e+00,1.480382068542699336e+01,2.163168123781264995e+01
-1.493136907159140492e-01,1.540101517198052328e+01,2.279140909242628155e+01
-1.072590688355049338e+00,1.522726236601858574e+01,2.160181849966946999e+01
1.670084235953098073e+01,1.590743790525097978e+01,2.257689095475527807e+01
1.048065931004545348e+01,1.532585538621797205e+01,2.494198697157565547e+01
1.000490706087227011e+01,1.550683169827329699e+01,2.467302281676436593e+01
-4.156765933759629661e+00,1.527479993250775436e+01,2.694296838375010950e+01
3.140951827715554145e+00,1.601380756260001093e+01,2.384166963001244000e+01
2.430693218872617933e+01,1.526732811905694831e+01,2.757115874929322175e+01
-7.904682207568498598e-01,1.558736931907282752e+01,2.870305606775768226e+01
6.804370344979474794e+00,1.618066892604609919e+01,2.741306510514183614e+01
6.916840317682243722e+00,1.585649679673449874e+01,3.006393013675357651e+01
-5.209756127292138217e+00,1.644860061634463122e+01,2.879643316867828773e+01
2.809293341115107978e+00,1.615235356757205309e+01,2.902197891129515028e+01
3.200812059697256018e+00,1.568650740955626155e+01,2.935829183690131572e+01
3.935437679733325922e+00,1.570298838546611542e+01,2.966214132323459296e+01
1.104739684707729452e+01,1.616395351164997507e+01,3.014537937284798019e+01
2.782917114813358239e+01,1.642065150315507083e+01,3.187162069265005471e+01
6.137144090742594926e+00,1.601201867541327672e+01,3.571121360247470022e+01
-5.699677656804453818e-01,1.607271925012064884e+01,3.309904951079860780e+01
3.313248502516074723e+00,1.585587109793422123e+01,3.559722004933862394e+01
-8.345037864136486405e-01,1.562927434285326456e+01,3.376169921130182416e+01
7.092607443857872340e+00,1.617408652919419509e+01,3.543031929205589137e+01
-6.107459578856037297e+00,1.588734268643849745e+01,3.518022070007339863e+01
1.589848839261190960e+01,1.621054205654779068e+01,3.420882737628469528e+01
2.117989798850763350e+01,1.600801351559576702e+01,3.835991837859582887e+01
1.443969186964864093e+00,1.549724937635109967e+01,3.844480697398626035e+01
-7.032634224817400082e-01,1.573651340581641911e+01,3.864871221598880169e+01
-5.270261038329806524e+00,1.566607236726551378e+01,3.830415428948990808e+01
1.880474994352243812e+01,1.567137928513547429e+01,3.759466000832284038e+01
4.398842237492175400e+00,1.545544267490285861e+01,4.206510427819444686e+01
-5.385417968733037242e+00,1.535724545067957791e+01,3.847442845582134652e+01
1.992008910779838970e+01,1.532700228460349301e+01,4.098802068444788915e+01
4.161708768662634839e+00,1.548342079561155948e+01,4.245844627738103583e+01
2.696728247847687499e+00,1.524606666386388198e+01,4.182036243818041754e+01
-7.783751039303041352e+00,1.528473855659406944e+01,4.299779192695059038e+01
-5.425578678759507056e+00,1.539188168906233045e+01,4.026361223031983627e+01
1.551367167696523097e+01,1.511084888888191990e+01,4.191267619119872734e+01
3.948039929463618591e+00,1.490062870033927922e+01,4.336634656571288815e+01
5.131258071002207544e+00,1.478984088027673138e+01,4.270228417709144964e+01
1.598945632558067587e+01,1.488230698056099577e+01,4.439259817991335666e+01
4.005355621039996095e+00,1.528203248041914897e+01,4.590017544220759049e+01
-1.538040982089489717e+01,1.476147211927912473e+01,4.519366930412133598e+01
-2.783649664677369628e+00,1.425478025686454941e+01,4.282409347802862243e+01
1.292274078395641368e+01,1.402379014852122197e+01,4.463693937118586064e+01
1.244587907659985149e+01,1.433787658229178597e+01,4.540864163481990090e+01
