dxdt,x,y
1.056574111438684405e+01,1.925601388754980270e-01,9.689421771544539652e-01
7.059933088606157980e+00,1.249134250314182459e+00,9.237847100868021855e-01
2.238642151818571513e+00,1.604546756596729962e+00,9.335445876692818334e-01
1.716304696063719604e-01,1.696862680677897028e+00,9.333842662487794595e-01
-4.907173733036636065e-01,1.638872850518004354e+00,9.400326747311698039e-01
-1.193584517887806840e-01,1.598719206017164218e+00,8.412675847732193901e-01
6.484229699545451808e-02,1.615001160160248084e+00,9.314751741068079127e-01
-6.357423085534996687e-02,1.611687665416255077e+00,9.288693145933762940e-01
8.045307281723701465e-02,1.602286313989178090e+00,8.301394631572125427e-01
-9.429743058694128877e-02,1.627778279979702480e+00,8.221365008804810692e-01
-2.159296092934743783e-01,1.583426827871789788e+00,8.817865625470115987e-01
-2.063901379257089275e-01,1.584592358121007516e+00,7.945913010264326060e-01
1.163898866035877333e-01,1.542148800286647914e+00,8.488259694452898740e-01
1.451338263108761240e-01,1.607870335441724530e+00,8.333215407667818875e-01
-1.757165708595298526e-01,1.571175565548823316e+00,8.352089149587682559e-01
5.974353661217568501e-01,1.572727021269818337e+00,8.185229433703422597e-01
-7.008739692609644578e-02,1.690662638773175352e+00,7.322996858227236450e-01
-9.038249536434737053e-01,1.558709541884599092e+00,7.867467550768288964e-01
4.754996010633227854e-03,1.509897648044479901e+00,6.406016466426294187e-01
2.779988596296512071e-01,1.559660541086726138e+00,7.254871584625026681e-01
-3.306480956502513280e-01,1.565497419970409920e+00,6.067532352292357434e-01
-1.927738397353042643e-01,1.493530921956675916e+00,6.624613641413505949e-01
1.068277669051154177e-01,1.526942652023349112e+00,6.895145100118906800e-01
8.555934519863050980e-02,1.514896475337699000e+00,6.483882881095565098e-01
8.289450316874358293e-02,1.544054521063075169e+00,6.031121428658651196e-01
-2.637332697085339461e-01,1.531475375971448116e+00,5.988215654610060668e-01
-2.523912145467672730e-01,1.491307867121367980e+00,5.370402328942113224e-01
-1.316226398861584101e-01,1.480997133062094573e+00,6.467317571355182260e-01
-1.682581343639633076e-02,1.464983339144136254e+00,5.324839012675465222e-01
4.449730360073633761e-02,1.477631970374815307e+00,5.661858050315465851e-01
-2.468749867265378484e-01,1.473882799864283832e+00,4.899562598694576221e-01
-2.081030226284221740e-01,1.428256973029507382e+00,5.375385342460202720e-01
2.092011315165489549e-01,1.432262195338599442e+00,4.636057675233811737e-01
